510008	2
510012	8
510031	1
510032	5
510040	5
510051	2
510053	5
510065	3
510066	1
510073	2
510089	11
510091	12
510101	4
510106	1
510108	15
510109	1
510114	2
510124	4
510137	2
510163	11
510165	56
510182	10
510185	1
510200	1
510211	3
510213	1
510224	1
510232	6
510251	7
510252	6
510253	6
510270	1
510281	15
510302	10
510305	11
510316	9
510321	1
510336	13
510375	32
510378	115
510382	35
510385	137
510388	97
510403	30
510406	8
510449	2
510504	3
510512	2
510601	10
510611	3
510612	8
510613	2
510623	27
510626	1
510627	4
510631	5
510632	10
510633	2
510635	20
510641	19
510642	28
510643	1
510651	4
510653	1
510656	46
510662	1
510663	180
510666	2
510680	4
510703	2
510711	9
510726	25
510727	13
510732	1
510750	5
510781	2
510802	2
510810	5
510819	1
510821	1
510828	23
510835	1
510868	2
510886	1
510896	90
510926	1
510930	2
510931	40
510975	1
510984	1
511028	1
511036	4
511113	1
511131	2
511200	4
511233	1
511248	3
511322	6
511326	5
511328	112
511329	1
511334	2
511338	181
511341	11
511348	60
511353	1
511402	3
511422	4
511424	1
511431	34
511433	1
511437	1
511438	1
511443	14
511454	7
511456	22
511457	70
511477	3
511478	3
511482	5
511486	74
511511	1
511528	1
511536	4
511605	1
511663	1
511700	8
511705	4
511801	1
511804	1
511809	1
511810	2
511821	3
511826	1
511840	2
511886	1
511895	4
512004	2
512005	2
512006	1
512009	3
512021	6
512022	2
512025	6
512030	10
512066	1
512125	3
512128	8
512132	33
512145	8
512146	11
512151	6
512201	1
512204	4
512206	8
512208	4
512220	3
512224	2
512329	7
512527	1
512930	4
513045	3
513048	5
513103	1
513108	3
513298	1
513301	1
513326	3
513860	1
514016	8
514017	5
514023	5
514034	2
514035	9
514108	1
514167	4
514243	1
514316	2
514560	2
514580	1
514731	5
514732	7
514733	9
514758	5
514777	7
514786	5
514787	34
514788	7
514789	7
514900	3
515008	1
515019	1
515024	1
515026	1
515042	1
515046	1
515062	27
515063	29
515068	4
515078	8
515098	57
515118	2
515121	4
515151	8
515217	1
515250	3
515312	1
515444	3
515447	1
515511	17
515513	2
515523	1
515550	1
515551	3
515554	6
515578	2
515621	1
515635	6
516004	3
516009	1
516015	3
516018	4
516019	1
516029	1
516037	2
516060	7
516061	3
516062	4
516067	1
516081	47
516082	18
516083	119
516084	2
516086	37
516141	2
516213	56
516216	25
516219	2
516299	2
516389	1
516425	1
516531	1
516757	2
516801	7
517002	3
517003	26
517020	4
517068	1
517109	1
517169	7
517461	7
517514	1
517523	1
517542	3
517550	1
517565	1
517824	1
517907	3
518005	4
518008	28
518009	11
518010	4
518012	7
518013	3
518014	2
518015	4
518016	3
518017	1
518018	12
518019	234
518024	21
518025	6
518037	2
518038	152
518041	20
518042	4
518043	14
518044	14
518046	1
518047	4
518050	1
518056	7
518057	990
518058	4
518059	5
518061	2
518062	2
518063	2
518065	1
518069	4
518071	1
518075	2
518078	1
518082	15
518084	1
518088	2
518089	22
518090	3
518113	4
518114	308
518116	788
518123	17
518124	4
518125	514
518126	654
518128	185
518133	281
518136	1
518145	1
518148	1
518149	2
518151	1
518154	3
518156	1
518162	3
518167	1
518168	2
518172	320
518173	116
518186	2
518195	3
518200	1
518213	1
518216	1
518241	2
518260	1
518302	1
518311	1
518318	1
518385	1
518388	1
518400	1
518425	1
518500	2
518534	1
518807	1
518809	1
518815	1
518900	1
519002	32
519010	1
519016	2
519017	1
519041	65
519055	189
519108	4
519109	1
519127	1
519130	1
519251	1
519850	4
520113	3
520201	2
520302	2
520322	3
520423	1
520598	1
520663	4
520825	2
520923	1
520930	1
520985	4
521018	1
521021	21
521030	2
521100	4
521148	4
521156	4
521300	1
521320	1
521400	2
521484	1
521730	3
521900	5
522010	2
522013	307
522037	11
522071	93
522100	2
522138	1
522226	1
522301	1
522400	170
522422	11
522425	2
522426	1
522427	21
522428	22
522429	13
522431	21
522432	4
522434	17
522435	2
522436	5
522438	106
522498	1
522506	1
522628	1
522758	2
522823	4
523002	8
523006	19
523007	9
523008	13
523009	32
523010	8
523011	6
523012	6
523013	17
523016	1
523018	14
523019	12
523020	2
523039	56
523040	34
523042	19
523043	9
523045	56
523047	39
523049	23
523050	3
523053	25
523055	20
523057	19
523059	20
523060	16
523062	35
523063	5
523065	24
523066	4
523067	16
523069	26
523070	23
523072	23
523076	114
523079	41
523080	100
523082	64
523085	6
523087	80
523100	1
523106	46
523108	22
523109	52
523110	8
523111	38
